Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
US,KVTX,-97.8929,27.5459,United States National Seismic Network,TXHUB,,Kingsville,14.6,2006-06-16,
US,NATX,-94.661,31.7598,United States National Seismic Network,TXHUB,,Nacogdoches,168,2004-05-12,
US,MNTX,-105.3821,31.6985,United States National Seismic Network,TXHUB,,Cornudas Mountains,404.8,2003-05-29,
US,MIAR,-93.5765,34.5454,United States National Seismic Network,TXHUB,,Mount Ida,207,1992-09-23,
US,WMOK,-98.7807,34.7379,United States National Seismic Network,TXHUB,,Wichita Mountains,486,1992-11-12,
US,AMTX,-101.6808,34.8837,United States National Seismic Network,TXHUB,,Amarillo,1010,2002-09-29,
US,CBKS,-99.7374,38.814,United States National Seismic Network,TXHUB,,Cedar Bluff,677,1994-09-12,
MX,CCIG,-92.136917,16.281885,Mexican National Seismic Network,TXHUB,,Comitan,1625,2000-01-01,
MX,TLIG,-98.566467,17.562675,Mexican National Seismic Network,TXHUB,,Tlapa,1136,2009-01-01,
MX,ZAIG,-102.567001,22.769199,Mexican National Seismic Network,TXHUB,,Zacatecas,2408,1997-01-01,
MX,CGIG,-107.977352,30.365044,SSN,TXHUB,,CASAS GRANDES,1524,2006-12-07,
MX,HPIG,-105.664017,26.936794,SSN,TXHUB,,HIDALGO DEL PARRAL,1786,2006-12-20,
MX,MCIG,-101.483627,27.977093,SSN,TXHUB,,MUZQUIZ,483,2015-02-09,
MX,MYIG,-89.639614,20.948069,SSN,TXHUB,,MERIDA,13,2010-04-12,
MX,LVIG,-96.4185,19.72622,SSN,TXHUB,,LAGUNA VERDE,57,1996-04-10,
MX,BCIG,-105.412656,27.544763,SSN,TXHUB,,LA BOQUILLA,1265,2013-11-11,
MX,LNIG,-99.465617,24.898167,SSN,TXHUB,,LINARES,329,2006-01-19,
MX,MNIG,-100.29,26.61,SSN,TXHUB,,Monterrey,674,2016-01-01,
MX,NZIG,-109.554158,30.373054,SSN,TXHUB,,NACOZARI,1546,2010-11-06,
MX,SCIG,-91.186588,18.967037,SSN,TXHUB,,SABANCUY,18,2001-10-01,
PI,SP00,-106.919,34.074,PASSCAL Pier Test Data,TXHUB,,Socorro,1430,2006-03-27,
SC,Y22A,-106.965202,33.937,New Mexico Tech Seismic Network (),,,Socorro,1674,2010-02-04,
SC,JAL,-103.22932,32.20241,New Mexico Tech Seismic Network (),,,Jal,1020,2019-12-20,
SC,PDB,-103.59662,32.0722,New Mexico Tech Seismic Network (),,,Paduca Breaks,1025,2019-12-20,
SC,121A,-107.785103,32.532398,New Mexico Tech Seismic Network (),,,Cookes Peak,1652,2019-03-06,
SC,LEM,-106.974167,34.165501,New Mexico Tech Seismic Network (),,,Lemita,1698,1999-01-01,
SC,SBY,-107.180664,33.975166,New Mexico Tech Seismic Network (),,,South Baldy,3230,1999-01-01,
SC,SMC,-107.019302,33.778667,New Mexico Tech Seismic Network (),,,San Marcial,1560,1999-01-01,
IU,HKT,-95.83812,29.96478,,,,,69,1995-07-11,
IU,ANMO,-106.457199,34.945911,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Albuquerque,1820,2008-06-30,
IU,TEIG,-88.276299,20.226299,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Tepich,40,2014-10-30,
EP,KIDD,-106.506376,31.771774,UTEP Seismic Network,TXHUB,,KIDD Seismic Observatory,1162.5,2009-10-08,
TX,FW11,-97.12787,32.72273,,,,"Arlington, TX",197.5,2016-10-20,
TX,FW04,-96.92325,32.84763,,,,"Dallas, TX",144.8,2016-09-28,
TX,FW09,-96.913922,32.92282,,,,"Farmers Branch, TX",133.3,2016-09-29,
TX,FW02,-97.34255,32.95019,,,,"Haslet, TX",226.5,2016-09-22,
TX,FW05,-96.747081,32.988669,,,,"Dallas, TX",207.3,2016-11-16,
TX,FW06,-97.55693,32.972559,,,,"Azle, TX",233,2016-10-19,
TX,FW07,-97.786092,32.702466,,,,"Dallas, TX",310.9,2016-10-18,
TX,FW12,-97.148597,32.499076,,,,"Alvarado, TX",203.9,2016-09-21,
TX,FW01,-96.87833,32.684047,,,,"Dallas, TX",203.4,2016-10-19,
TX,FW13,-97.43112,32.35172,,,,"Cleburne, TX",259,2016-11-15,
TX,FW14,-97.1923,32.3991,,,,"Alvarado, TX",219,2016-11-15,
TX,WTFS,-98.46455,33.76622,Unavailable,TXHUB,,"Witchita Falls, TX",277,2016-12-15,
TX,DKNS,-100.92365,33.66653,Unavailable,TXHUB,,"Dickens, TX",843,2016-12-17,
TX,APMT,-100.12155,33.32512,Unavailable,TXHUB,,"Aspermont,TX",501,2016-12-17,
TX,POST,-101.50105,33.0662,Unavailable,TXHUB,,"Post, TX",788.6,2016-12-21,
TX,ODSA,-102.54913,32.12009,Unavailable,TXHUB,,"Odessa, TX",943,2016-12-22,
TX,SAND,-102.12331,29.95471,Unavailable,TXHUB,,"Sanderson, TX",688.8,2017-02-07,
TX,PECS,-103.86697,31.37045,Unavailable,TXHUB,,"Toyah, TX",914,2017-02-01,
TX,VHRN,-104.985193,30.786736,Unavailable,TXHUB,,"Van Horn, TX",1253,2017-02-01,
TX,SGCY,-101.12639,31.91436,Unavailable,TXHUB,,"Sterling City, TX",776,2017-02-08,
TX,OZNA,-101.12708,30.92195,Unavailable,TXHUB,,"Ozona, TX",770.8392,2017-02-08,
TX,HNDO,-99.28081,29.5288,,,,"Hondo, TX",381,2017-02-16,
TX,BRDY,-98.999447,31.285872,Unavailable,TXHUB,,"Brady, TX",460,2017-02-16,
TX,HBVL,-98.669634,27.064992,Unavailable,TXHUB,,"Hebbronville, TX",155,2017-02-15,
TX,DRIO,-100.61888,29.42311,,,,"Bracketville, TX",354,2017-03-17,
TX,PB08,-102.90736,30.89174,Unavailable,TXHUB,,"Fort Stockton, TX",926,2017-05-25,
TX,PB01,-103.78112,30.94367,Unavailable,TXHUB,,"Toyahvale, TX",1010,2017-09-13,
TX,SN07,-100.89172,33.09092,,,,"Snyder, TX",620,2016-09-28,
TX,CRHG,-94.22517,32.28884,Unavailable,TXHUB,,"Carthage,TX",95,2016-09-28,
TX,PB07,-103.66793,31.57935,University of Texas,TexNet,,"Pecos, TX",856,2017-10-11,
TX,PB03,-103.51395,31.08384,Unavailable,TXHUB,,"Varhalen, TX",871,2017-11-13,
TX,PB05,-103.3247,30.91978,Unavailable,TXHUB,,"Pecos County, TX",957,2016-11-05,
TX,EF04,-97.78986,29.21003,Unavailable,TXHUB,,"Nixon, TX",116,2017-12-20,
